 z ;  x ; y
290;82.72;14.59
291;80.75;21.64
292;78.18;28.46
293;75.04;34.99
294;71.36;41.20
295;67.17;47.03
296;62.51;52.45
297;57.42;57.42
298;51.94;61.90
299;46.12;65.86
300;40.00;69.28
301;33.64;72.14
302;27.09;74.42
303;20.39;76.11
304;13.61;77.21
305;6.80;77.70
306;0.00;77.60
307;-6.73;76.91
308;-13.34;75.63
309;-19.77;73.80
310;-25.99;71.42
311;-31.95;68.52
312;-37.60;65.13
313;-42.90;61.27
314;-47.82;56.99
315;-52.33;52.33
316;-56.38;47.31
317;-59.96;41.99
318;-63.05;36.40
319;-65.62;30.60
320;-67.66;24.63
321;-69.16;18.53
322;-70.12;12.36
323;-70.53;6.17
324;-70.40;-0.00
325;-69.73;-6.10
326;-68.54;-12.09
327;-66.84;-17.91
328;-64.65;-23.53
329;-61.99;-28.91
330;-58.89;-34.00
331;-55.37;-38.77
332;-51.48;-43.20
333;-47.23;-47.23
334;-42.68;-50.87
335;-37.86;-54.06
336;-32.80;-56.81
337;-27.55;-59.09
338;-22.16;-60.89
339;-16.67;-62.21
340;-11.11;-63.03
341;-5.54;-63.36
342;0.00;-63.20
343;5.47;-62.56
344;10.84;-61.45
345;16.05;-59.89
346;21.07;-57.89
347;25.86;-55.47
348;30.40;-52.65
349;34.64;-49.48
350;38.57;-45.96
351;42.14;-42.14
352;45.35;-38.05
353;48.17;-33.73
354;50.58;-29.20
355;52.57;-24.51
356;54.13;-19.70
357;55.25;-14.80
358;55.94;-9.86
359;56.19;-4.92
360;56.00;-0.00
361;55.39;4.85
362;54.36;9.59
363;52.93;14.18
364;51.12;18.61
365;48.94;22.82
366;46.42;26.80
367;43.58;30.51
368;40.45;33.94
369;37.05;37.05
370;33.43;39.83
371;29.60;42.27
372;25.60;44.34
373;21.47;46.04
374;17.24;47.36
375;12.94;48.30
376;8.61;48.85
377;4.29;49.01
378;0.00;48.80
379;-4.22;48.22
380;-8.34;47.27
381;-12.32;45.98
382;-16.14;44.35
383;-19.78;42.42
384;-23.20;40.18
385;-26.38;37.68
386;-29.31;34.93
387;-31.96;31.96
388;-34.32;28.80
389;-36.37;25.47
390;-38.11;22.00
391;-39.51;18.43
392;-40.59;14.78
393;-41.34;11.08
394;-41.76;7.36
395;-41.84;3.66
396;-41.60;0.00
397;-41.04;-3.59
398;-40.18;-7.08
399;-39.02;-10.46
